val,cana,periodo,fecha,fechaF,ctec,flag,nombre,idai,uuidai,ides
85.0,189,3,1709420400000,2024-03-03 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
86.0,189,4,1709506800000,2024-03-04 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
87.0,189,5,1709593200000,2024-03-05 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
87.0,189,6,1709679600000,2024-03-06 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
86.0,189,7,1709766000000,2024-03-07 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
86.0,189,8,1709852400000,2024-03-08 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
87.0,189,9,1709938800000,2024-03-09 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
87.0,189,10,1710025200000,2024-03-10 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
89.0,189,11,1710111600000,2024-03-11 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
88.0,189,12,1710198000000,2024-03-12 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
87.0,189,13,1710284400000,2024-03-13 00:00:00,70,N,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
84.0,189,15,1710457200000,2024-03-15 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
83.0,189,16,1710543600000,2024-03-16 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
93.0,189,17,1710630000000,2024-03-17 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
80.0,189,18,1710716400000,2024-03-18 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
82.0,189,19,1710802800000,2024-03-19 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
78.0,189,20,1710889200000,2024-03-20 00:00:00,70,T,LAFmax,114,e1df806a-e426-11ed-9103-005056986020,9
76.0,190,1,1704063600000,2024-01-01 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,2,1704150000000,2024-01-02 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
77.0,190,3,1704236400000,2024-01-03 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
76.0,190,4,1704322800000,2024-01-04 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
84.0,190,5,1704409200000,2024-01-05 00:00:00,70,T,LCeq,115,e1df808f-e426-11ed-9103-005056986020,9
